ai_infor_users_id,ai_infor_accounting_entity_id,ai_infor_users_accounting_entity_mapping_id,is_active,lid,ae_app_type,ai_infor_maps_id
793,109,993,f,lid://infor.ln.ln_sd1,,10461
30843,136,1392,t,lid://infor.ln.ln_ba,,19810
30843,136,1393,t,lid://infor.ln.ln_ba,,19858
30843,136,1394,t,lid://infor.ln.ln_ba,,19883
32030,109,10090,f,lid://infor.ln.ln_sd1,,17486
32030,109,10091,f,lid://infor.ln.ln_sd1,,17622
790,110,1038,t,lid://infor.ln.ln_sd1,,10460
790,112,1039,t,lid://infor.ln.ln_sd1,,10460
1296,110,1040,t,lid://infor.ln.ln_sd1,,10460
32740,166,10604,f,lid://infor.ln.ln_sd_t1,,38347
33907,303,11478,f,lid://infor.m3.m3_sd1,,
31882,22,8678,f,lid://infor.ln.ln_ba,,1639
780,110,1042,f,lid://infor.ln.ln_sd1,,10460
780,112,1043,f,lid://infor.ln.ln_sd1,,10460
30315,109,1491,f,lid://infor.ln.ln_sd1,,18024
30315,109,1492,f,lid://infor.ln.ln_sd1,,18121
780,109,1024,f,lid://infor.ln.ln_sd1,,10473
780,110,1027,f,lid://infor.ln.ln_sd1,,10473
31882,23,8679,f,lid://infor.ln.ln_ba,,1639
782,110,997,t,lid://infor.ln.ln_sd1,,10458
32404,199,10699,t,infor.ln.ln_ba,,
30997,14,10700,t,lid://infor.ln.ln_ba,,
30997,60,10709,f,lid://infor.ln.ln_ba,,3128
780,109,990,f,lid://infor.ln.ln_sd1,,10461
32030,109,10092,f,lid://infor.ln.ln_sd1,,17631
32030,109,10093,f,lid://infor.ln.ln_sd1,,17671
32030,109,10094,f,lid://infor.ln.ln_sd1,,17695
32030,109,10136,f,lid://infor.ln.ln_sd1,,18049
32030,109,10137,f,lid://infor.ln.ln_sd1,,18055
32030,109,10138,f,lid://infor.ln.ln_sd1,,18075
32030,109,10139,f,lid://infor.ln.ln_sd1,,18089
780,112,1030,f,lid://infor.ln.ln_sd1,,10473
32030,109,10140,f,lid://infor.ln.ln_sd1,,18106
32019,17,9676,f,lid://infor.ln.ln_ba,,3378
30997,62,10710,f,lid://infor.ln.ln_ba,,3128
