,profile_id,ai_infor_users_id,connection_id,ai_infor_roles_id,role_id,role_name,ai_infor_user_assignments_id,status_code,identity2,created_on_ts,created_by,manager_profileid,profile_status,profile_language,profile_timezone,profile_locale,variation_id,is_bootstrap_user
0,1.0,1.0,1.0,26.0,AttributeServiceCaller,AttributeServiceCaller,1.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
1,1.0,1.0,1.0,24.0,DataAdministrator,DataAdministrator,2.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
2,1.0,1.0,1.0,21.0,IFS-AuditAdministrator,IFS-AuditAdministrator,3.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
3,1.0,1.0,1.0,20.0,IFS-AuditReportUser,IFS-AuditReportUser,4.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
4,1.0,1.0,1.0,30.0,IFS-ExternalEntityAdmin,IFS-ExternalEntityAdmin,5.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
5,1.0,1.0,1.0,23.0,IFS-MonitorAdministrator,IFS-MonitorAdministrator,6.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
6,1.0,1.0,1.0,22.0,IFS-MonitorReportUser,IFS-MonitorReportUser,7.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
7,1.0,1.0,1.0,29.0,IFS-PasswordAdmin,IFS-PasswordAdmin,8.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
8,1.0,1.0,1.0,28.0,IFS-ReadOnlyUser,IFS-ReadOnlyUser,9.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
9,1.0,1.0,1.0,33.0,IFSApplicationAdmin,IFSApplicationAdmin,10.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
10,1.0,1.0,1.0,2.0,Infor-SuiteUser,Infor-SuiteUser,11.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
11,1.0,1.0,1.0,27.0,Infor-SystemAdministrator,Infor-SystemAdministrator,12.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
12,1.0,1.0,1.0,25.0,UserAdmin,UserAdmin,13.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
13,1.0,1.0,1.0,32.0,IFSAdminContact,IFSAdminContact,172.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
14,1.0,1.0,1.0,4.0,MingleAdministrator,MingleAdministrator,176.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
15,1.0,1.0,1.0,5.0,MingleDataAdministrator,MingleDataAdministrator,177.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
16,1.0,1.0,1.0,7.0,PORTAL-ContentAdministrator,PORTAL-ContentAdministrator,178.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
17,1.0,26.0,5.0,51.0,DATALAKE-Administrator,DATALAKE-Administrator,180.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
18,1.0,26.0,5.0,49.0,DATALAKE-DataAdministrator,DATALAKE-DataAdministrator,181.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
19,1.0,26.0,5.0,50.0,DATALAKE-SystemAdministrator,DATALAKE-SystemAdministrator,182.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
20,1.0,26.0,5.0,45.0,IONContentProvider,IONContentProvider,183.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
21,1.0,26.0,5.0,44.0,IONDeskAdmin,IONDeskAdmin,184.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
22,1.0,26.0,5.0,46.0,IONDeskOAuthGenerator,IONDeskOAuthGenerator,185.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
23,1.0,26.0,5.0,43.0,IONDeskSecurityAdmin,IONDeskSecurityAdmin,186.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
24,1.0,26.0,5.0,47.0,Mingle-LocatorView,Mingle-LocatorView,187.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
25,1.0,27.0,4.0,42.0,GDPR-App-Administrator,GDPR-App-Administrator,188.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
26,1.0,28.0,8.0,61.0,GRID-Administrator,GRID-Administrator,189.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
27,1.0,28.0,8.0,59.0,GRID-SystemAdministrator,GRID-SystemAdministrator,190.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
28,1.0,28.0,8.0,60.0,GRID-Viewer,GRID-Viewer,191.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
29,1.0,28.0,8.0,64.0,IDM-Administrator,IDM-Administrator,192.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
30,1.0,28.0,8.0,65.0,IDM-SuperUser,IDM-SuperUser,193.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
31,1.0,29.0,6.0,56.0,GRID-Administrator,GRID-Administrator,194.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
32,1.0,29.0,6.0,54.0,GRID-SystemAdministrator,GRID-SystemAdministrator,195.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
33,1.0,29.0,6.0,55.0,GRID-Viewer,GRID-Viewer,196.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
34,1.0,30.0,2.0,34.0,HOMEPAGES-Administrator,HOMEPAGES-Administrator,197.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
35,1.0,30.0,2.0,35.0,HOMEPAGES-ContentAdministrator,HOMEPAGES-ContentAdministrator,198.0,Enabled,166a5e3b-83dd-4bd4-b231-63edb4f1a9ac,2023-01-24T07:23:01.253+0000,,0.0,Enabled,en-US,Eastern Standard Time,en-US,637999485910578975,1
